course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
CMPSC 111,MATNI Z A,Spring,2024,12,7,4,0,2,44,0,3.2,0,CMPSC,0,0,3,6,3,0,6,1,0,0,0,Introduction to Computational Science,4,Mathematics 4B with a grade of C or better; Mathematics 6A with a grade of C or better; Computer Science 24 with a grade of C or better,"Introduction to computational science, emphasizing basic numerical algorithms and the informed use of mathematical software. Topics include matrix computation, systems of linear equations, and differential equations. Students learn and use Python libraries such as numpy, scipy, and matplotlib.",4,"Professor Matni is an excellent professor. He drops the lowest quiz score, lab score, and homework grade. His lectures are easy to follow along with, and he is very funny and engaging. He clearly wants his students to succeed—his quizzes and final were all really fair and not too difficult. I wish I could have him for all my CS courses.'",106,,
CMPSC 130A,SINGH A K,Spring,2024,35,8,11,2,2,115,0,3.14,0,CMPSC,0,0,4,14,3,0,13,17,6,0,0,Data Structures and Algorithms I,4,"CMPSC 40 or MATH 8 with a grade of C or better; CMPSC 9 or CMPSC 24 with a grade of C or better; PSTAT 120A or ECE 139; open to computer science, computer engineering, and electrical engineering majors only.","Data structures and applications with proofs of correctness and analysis. Topics include hash tables, priority queues (heaps), balanced search trees, and graph traversal techniques and their applications.",2.5,"Professor Singh has a mixed reputation. Some students appreciate his detailed lectures, while others find the workload heavy and the material challenging. Participation and asking questions during lectures help a lot.",26,36%,3.7
CMPSC 130B,SURI S,Spring,2024,32,15,1,1,0,74,0,3.54,0,CMPSC,0,0,3,3,0,0,13,6,0,0,0,Data Structures and Algorithms II,4,CMPSC 130A,"Design and analysis of computer algorithms, including correctness proofs, recurrence relations, and design techniques such as divide and conquer, greedy strategies, and dynamic programming. Applications to various problems and an introduction to NP-completeness.",4.6,Professor Suri is one of the best professors in the CS department. His lecture slides are concise and to the point.',26,90%,3
CMPSC 138,BOYLAND P,Spring,2024,33,9,5,2,0,153,0,3.53,0,CMPSC,0,0,67,11,5,2,7,5,7,0,0,Automata and Formal Languages,4,CMPSC 40,Formal languages; finite automata and regular expressions; properties of regular languages; pushdown automata and context-free grammars; properties of context-free languages; introduction to Turing machines and computability.,1.8,Lectures are very (too) theoretical with examples and assume you've read the book. Conceptual material taught but don't really translate into the homework entirely.',17,12%,4.6
CMPSC 154,BALKIND J M,Spring,2024,52,9,0,0,0,98,0,3.64,0,CMPSC,0,0,1,17,1,0,13,3,2,0,0,Computer Architecture,4,CMPSC 32 with a grade of C or better; CMPSC 64 with a grade of C or better,"Introduction to the architecture of computer systems. Topics include: central processing units, memory systems, channels and controllers, peripheral devices, interrupt systems, software versus hardware tradeoffs.",3.5,"Professor Balkind is super knowledgeable, never leaving any question unsolved at the end of class.'",24,75%,3.3
CMPSC 156,CONRAD P T,Spring,2024,79,1,0,0,0,96,0,3.95,0,CMPSC,0,0,4,0,0,0,12,0,0,0,0,Advanced Applications Programming,4,CMPSC 24 and CMPSC 32 with a grade of C or better; open to Computer Science and Computer Engineering majors only,"Advanced application programming using a high-level, virtual-machine-based language. Topics include generic programming, exception handling, automatic memory management, and application development, management, and maintenance tools, third-party library use, version control, software testing, issue tracking, code review, and working with legacy code.",4.5,Phillip Conrad is great at explaining complex concepts clearly. His assignments are challenging but rewarding.',88,85%,2.8
CMPSC 160,HARDEKOPF B C,Spring,2024,22,2,1,2,19,112,0,3.07,0,CMPSC,0,0,42,4,2,1,13,4,0,0,0,Translation of Programming Languages,4,CMPSC 64 or ECE 154; CMPSC 130A; CMPSC 138,Study of the structure of compilers. Topics include: lexical analysis; syntax analysis including LL and LR parsers; type checking; run-time environments; intermediate code generation; and compiler-construction tools.,4.7,"Clear grading criteria', 'Amazing lectures', 'Lots of homework', 'Graded by few things', 'Tests? Not many'",12,78%,3.6
CMPSC 165A,YAN X,Spring,2024,36,2,0,0,0,96,0,3.71,0,CMPSC,0,0,15,16,3,0,23,0,1,0,0,Artificial Intelligence,4,CMPSC 130A,"Introduction to the field of artificial intelligence, which seeks to understand and build intelligent computational systems. Topics include intelligent agents, problem solving and heuristic search, knowledge representation and reasoning, uncertainty and probabilistic reasoning, machine learning, reinforcement learning, and responsible AI.",3.6,"Lots to gain from this class', 'Useful homeworks', 'Thoughtful programming assignments', 'Tests are very doable if you know the slides well'",12,60%,2.8
CMPSC 165B,WANG Y F,Spring,2024,22,4,4,2,1,57,0,3.26,0,CMPSC,0,0,1,4,6,0,11,1,1,0,0,Machine Learning,4,CMPSC 130A,"Covers the most important techniques of machine learning (ML), including discussions of well-posed learning problems, artificial neural networks, concept learning and general-to-specific ordering, decision tree learning, genetic algorithms, Bayesian learning, analytical learning, and others.",1.9,"Harsh grader, no curve', 'Test heavy', 'Lectures are a bit on the boring side', 'Projects are very fun and challenging', 'Grades very leniently on the projects and very strictly on the tests'",48,,
CMPSC 170,YANG T,Spring,2024,26,28,1,0,0,107,0,3.268224299,0,CMPSC,0,0,7,15,12,0,7,10,1,0,0,Operating Systems,4,"CMPSC 130A; and, CMPSC 154 or ECE 154A (may be taken concurrently); open to computer science, computer engineering or electrical engineering majors only.","Basic concepts of operating systems, including the notion of a process; interprocess communication and synchronization; input-output, file systems, memory management.",3,"Mixed reviews; some students find lectures organized, while others note challenges with understanding due to accent.",17,67%,3.4
CMPSC 174B,SU J,Spring,2024,16,16,2,1,1,78,0,3.220512821,0,CMPSC,0,0,6,7,3,0,11,14,1,0,0,Design and Implementation Techniques of Database Systems,4,CMPSC 130B,"Queries and processing, optimizer, cost models, execution plans, rewriting rules, access methods, spatial indexing; transactions, ACID properties, concurrency control, serializability, two-phase locking, timestamping, logging, checkpointing, transaction abort and commit, crash recovery; distributed databases.",2,"Mixed reviews; some students find the class straightforward, while others note that lectures can be disorganized.",30,39%,3.8
CMPSC 176C,GUPTA A,Spring,2024,17,0,0,0,0,35,0,3.842857143,0,CMPSC,0,0,9,2,0,0,6,0,1,0,0,Advanced Topics in Internet Computing,4,CMPSC 176A,"General overview of wireless and mobile networking, multimedia, security, multicast, quality of service, IPv6, and web caching.",2.5,"Mixed reviews; some students appreciate his caring nature and accessibility, while others note challenges with course organization.",10,40%,2.8
CMPSC 177,KRUEGEL C I,Spring,2024,46,18,13,2,2,106,0,3.256603774,0,CMPSC,0,0,7,10,1,0,0,4,3,0,0,Computer Security,4,CMPSC 170 (may be taken concurrently),"Introduction to the basics of computer security and privacy. Analysis of technical difficulties of producing secure computer information systems that provide guaranteed controlled sharing. Examination and critique of current systems, methods, certification.",4.7,Great lectures; students appreciate his passion and thorough explanations.,7,100%,3.4
CMPSC 190D,CONRAD P T,Spring,2024,11,0,0,1,0,16,0,3.7125,0,CMPSC,0,0,2,0,0,0,1,1,0,0,0,Introduction to Allolib,4,CMPSC 32 or equivalent,This course provides an introduction to digital audio through the lens of the software used by the Allosphere Research Group at UC Santa Barbara.,4.5,Students appreciate his passion and accessibility; lectures are engaging and informative.,72,89%,2
CMPSC 190I,SRA M,Spring,2024,35,1,0,0,0,82,0,3.934146341,0,CMPSC,0,0,34,2,0,0,10,0,0,0,0,Spatial Interface Design and Implementation,4,Prior programming experience,"This course focuses on the design and implementation of one-handed spatial user interfaces (SUIs) for task assistance in AR/VR, combining theoretical insights with practical Unity projects.",3.8,Students appreciate her knowledge and engaging lectures; some note the reliance on group work.,5,80%,2.4
CMPSC 190J,FENG YU,Spring,2024,20,5,1,0,0,55,0,3.634545455,0,CMPSC,0,0,0,6,0,0,21,2,0,0,0,Blockchain Technologies and Security,4,Consent of instructor.,"The course covers all aspects of blockchains and cryptocurrencies with a focus on security, including distributed consensus, smart contracts, economics, scalability, and applications. The Ethereum ecosystem is used as a case study.",2.5,Great and passionate lecturer. Made the class very interesting and approachable!,38,43%,4
CMPSC 196,BALKIND J M,Spring,2024,12,0,0,0,0,12,0,4,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,Undergraduate Research,4-Feb,Upper-division standing; minimum 3.0 GPA for preceding three quarters; consent of instructor.,"Research opportunities for undergraduate students. Students will be expected to give regular oral presentations, actively participate in a weekly seminar, and prepare at least one written report on their research.",3.5,"Professor Balkind is super knowledgeable, never leaving any question unsolved at the end of class.",24,75%,3.3
CMPSC 196,BEYELER M,Spring,2024,8,0,0,0,0,10,0,4,0,CMPSC,0,0,2,0,0,0,0,0,0,0,0,Undergraduate Research,4-Feb,Upper-division standing; minimum 3.0 GPA for preceding three quarters; consent of instructor.,"Research opportunities for undergraduate students. Students will be expected to give regular oral presentations, actively participate in a weekly seminar, and prepare at least one written report on their research.",5,He made visual neuroscience very fun and interesting! Amazing lectures.,2,100%,2
CMPSC 196,CHANG SHIYU,Spring,2024,3,0,0,0,0,5,0,4,0,CMPSC,0,0,2,0,0,0,0,0,0,0,0,Undergraduate Research,4-Feb,Upper-division standing; minimum 3.0 GPA for preceding three quarters; consent of instructor.,"Research opportunities for undergraduate students. Students will be expected to give regular oral presentations, actively participate in a weekly seminar, and prepare at least one written report on their research.",4.7,Amazing professor. He puts in effort during lectures to guide all students through the material.,3,100%,2
CMPSC 196,H�LLERER T,Spring,2024,5,0,0,0,0,5,0,4,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,Undergraduate Research,4-Feb,Upper-division standing; minimum 3.0 GPA for preceding three quarters; consent of instructor.,"Research opportunities for undergraduate students. Students will be expected to give regular oral presentations, actively participate in a weekly seminar, and prepare at least one written report on their research.",4.6,Prof. Höllerer is a great professor who obviously cares about his students.,9,100%,2.2
CMPSC 196,SHERWOOD T P,Spring,2024,5,0,0,0,0,5,0,4,0,CMPSC,0,0,0,0,0,0,0,0,0,0,0,Undergraduate Research,4-Feb,Upper-division standing; minimum 3.0 GPA for preceding three quarters; consent of instructor.,"Research opportunities for undergraduate students. Students will be expected to give regular oral presentations, actively participate in a weekly seminar, and prepare at least one written report on their research.",4.8,Professor Sherwood's lectures are entertaining and he explains difficult material and concepts well. One of the few classes I've taken where I've actually looked forward to the lectures.,21,100%,2.5
ECE 1B,PARHAMI B,Spring,2024,0,0,0,0,0,0,97,0,95,ECE,0,0,0,0,0,0,0,0,0,0,0,Ten Puzzling Problems in Computer Engineering,1,Open to pre-computer engineering and computer engineering majors only.,"Gaining familiarity with, and motivation to study, the field of computer engineering, through puzzle-like problems that represent a range of challenges facing computer engineers in their daily problem-solving efforts and at the frontiers of research.",2.4,"Grade is based on attendance only. Really easy class, just sit in the back and sleep.",9,0%,2.6
ECE 6,SMITH S L,Spring,2024,28,6,2,0,0,66,0,3.7,0,ECE,0,0,21,1,1,1,4,1,1,0,0,"The Physics of Energy, Information, and Communication",4,Open to Electrical Engineering majors only.,"Introduction to the fundamentals and applications of electronic and photonic systems, covering topics such as energy, information, and communication in the context of electrical engineering.",3.3,Super chill professor and lectures were clear. Guest lecturers were cool as well. Tests and HW weren't bad. Thank god I could take this class instead of the dreaded CHEM 1A.,7,72%,3.4
ECE 10B,KIM B,Spring,2024,4,4,0,0,0,24,0,3.28,0,ECE,0,0,5,4,1,0,2,1,3,0,0,Foundations of Analog and Digital Circuits and Systems,3,ECE 10A with a C- or better grade.,"The objective of the course is to introduce the MOSFET both as a simple digital switch and as a controlled current source for analog design. The course covers basic digital design, small-signal analysis, charge storage elements, and operational amplifiers.",3,"Lots of homework, but the level of difficulty was okay to me. The lecture and exams are mostly based on the textbook. As long as you read the textbook, you can get a high score for the exam. A bit strict in terms of grading, but he responded pretty quickly to email inquiries.",2,50%,2.5
ECE 10BL,KIM B,Spring,2024,16,0,0,0,0,18,0,4,0,ECE,0,0,2,0,0,0,0,0,0,0,0,Foundations of Analog and Digital Circuits and Systems Lab,2,ECE 10B (may be taken concurrently) with a C- or better grade.,"The goal of 10BL is to provide the student with a hands-on application of the concepts discussed in ECE 10B. The lab utilizes the microcontroller to introduce students to the understanding of datasheets for both digital and analog circuits, single-stage amplifier design, and basic instrumentation.",3,"Lots of homework, but the level of difficulty was okay to me. The lecture and exams are mostly based on the textbook. As long as you read the textbook, you can get a high score for the exam. A bit strict in terms of grading, but he responded pretty quickly to email inquiries.",2,50%,2.5
ECE 10C,ALIZADEH M,Spring,2024,38,19,15,3,2,130,0,3.06,0,ECE,0,0,7,9,9,0,10,10,8,0,0,Foundations of Analog and Digital Circuits and Systems,3,ECE 10B with a C- or better grade.,"The objective of the course is to introduce the student to the basics of transient analysis, including energy and power dissipation in digital circuits, first-order and second-order linear time-invariant circuits, sinusoidal steady state, impedance representation, feedback, and resonance.",4.1,"Alizadeh is a very nice professor. He’s fair with the material and quizzes were straightforward. There was a bit of ambiguity in some lectures, but overall it was understandable.",7,58%,2.1
ECE 10CL,ALIZADEH M,Spring,2024,116,0,0,0,1,129,0,3.95,0,ECE,0,0,8,0,0,0,3,1,0,0,0,Foundations of Analog and Digital Circuits and Systems Lab,2,ECE 10C (may be taken concurrently) with a C- grade or better.,"The goal of 10CL is to provide the student with a hands-on application of the concepts discussed in ECE 10C. The lab utilizes the microcontroller to introduce students to the understanding of energy and power dissipation, transient circuit response, sinusoidal steady-state analysis, impedance, resonance, and filter design and analysis.",4.1,"Alizadeh is a very nice professor. She’s fair with the material and quizzes were straightforward. There was a bit of ambiguity in some lectures, but overall it was understandable.",7,58%,2.1
ECE 120B,LOPATIN S D,Spring,2024,8,0,0,0,0,27,0,3.85,0,ECE,0,0,11,4,0,0,4,0,0,0,0,Integrated Circuit Design and Fabrication,4,Either ECE 120A or ECE 124B with a minimum grade of C- or better in each of the courses.,"Design, simulation, fabrication, and characterization of NMOS integrated circuits. Circuit design and layout is performed using commercial layout software. Circuits are fabricated using modern VLSI processing techniques. Circuit and discrete device electrical performance are analyzed.",,,,,
ECE 122B,BREWER F,Spring,2024,2,1,0,0,0,7,0,3.71,0,ECE,0,0,2,1,0,0,1,0,0,0,0,VLSI Architecture and Design,4,ECE 124A or ECE 123 or ECE 122A with a minimum grade of C-.,"Practical issues in VLSI circuit design, including pad/pin limitations, clocking and interfacing standards, electrical packaging for high-speed and high-performance design. Topics cover on-chip noise and crosstalk, clock and power distribution, architectural and circuit design constraints, interconnection limits, and transmission line effects.",3.4,Professor Brewer is known for his structured classes and interesting lectures. He is approachable during office hours and genuinely cares about student success.,7,58%,3.6
ECE 130B,PEDARSANI R,Spring,2024,12,13,2,2,0,71,0,3.05,0,ECE,0,0,1,12,8,1,9,8,3,0,0,Signal Analysis and Processing,4,ECE 130A with a minimum grade of C-; open to Electrical Engineering and Computer Engineering majors only.,"Analysis of discrete-time linear systems in the time and frequency domains, including Z-transforms, Discrete Fourier transforms, sampling, and aliasing.",,,,,
ECE 130C,YU Q,Spring,2024,4,2,0,0,4,17,0,2.27,0,ECE,0,0,1,2,1,1,0,0,1,1,0,Introduction to Applied Linear Algebra,4,Math 4B or Math 5A recommended; open to Electrical Engineering and Computer Engineering majors only.,"Introduction to applied linear algebra: matrix arithmetic, vector spaces, orthogonality, matrix factorizations, determinants, eigenvalues and eigenvectors, difference and differential equations.",1.5,Professor was nice but the class was not designed very well. Lectures were too formalized and sections didn't always align with the lecture topics. Homework was given inconsistently and seemed useless since most of it never appeared again. Exams were calculation intensive and unfair since those with CAS calculators did better.,2,0%,4
ECE 135,DAGLI N,Spring,2024,2,1,0,0,0,6,0,3.67,0,ECE,0,0,1,1,0,0,1,0,0,0,0,Optical Fiber Communications,4,ECE 130B with a minimum grade of C-.,"Introduction to optical fiber communication systems, including lightwave fundamentals, fiber optics, transmitters, receivers, and system design considerations.",4.7,"Dagli is the man! Class is difficult and a lot of work, but has many instant rewards. Dagli puts in much more time into his classes than any other professor inspires a lot of confidence in the material. You will learn a lot in this class, so much that you'll be happy with any grade he fairly assigns.",7,100%,5
ECE 136C,MOODY G A,Spring,2024,8,0,0,0,0,28,0,3.94,0,ECE,0,0,16,1,0,0,3,0,0,0,0,Quantum Photonics,4,"PHYS 5 and PHYS 5L, or equivalent.","Introduction to quantum information, fundamentals of quantum photonics, quantum light generation and detection, quantum coherence and superposition, wave-particle duality, qubits, quantum logic, entanglement, quantum measurement.",5,Grading based on prelab and lab only. No exams at all which was a huge plus. Lectures are engaging despite how hard the concepts were. Made sure we understood it with the labs. Labs were every week in groups as well.,4,100%,2
ECE 137B,THEOGARAJAN L,Spring,2024,14,15,2,0,0,66,0,3.38,0,ECE,0,0,10,11,0,0,4,10,0,0,0,Circuits and Electronics II,4,"ECE 10C and 10CL or 2C, and ECE 137A with a minimum grade of C- in all; open to EE majors only.",Analysis and design of single-stage and multistage transistor circuits at low and high frequencies. Transient response. Analysis and design of feedback circuits. Stability criteria.,4.2,"He is a great person, I'd love to have him as a mentor or something. But his lectures were confusing and unorganized; I feel like I learned nothing. His exams are insanely hard; there is material on them that he's never gone over, but the grading is very nice. Labs are also really hard, but he offers good advice in office hours, so go to those.",52,88%,2.9
ECE 139,ROSE K,Spring,2024,84,8,6,0,0,161,0,3.65,0,ECE,0,0,5,9,2,0,35,11,1,0,0,Probability and Statistics,4,"Open to Electrical Engineering, Computer Engineering, and pre-Computer Engineering majors only.","Fundamentals of probability, conditional probability, Bayes rule, random variables, functions of random variables, expectation and high-order moments, Markov chains, hypothesis testing.",4.4,"Kenneth is a pretty cool dude, really just a solid person and professor. We got 1 HW assignment every week except the week before the midterm, and they're graded pretty harshly by correctness, but he drops the lowest. TAs hard carried review. The midterm and final were take home and online which saved my grade. Curved class by half a grade.",8,88%,3
ECE 142,SALEM L G,Spring,2024,3,6,0,1,0,21,0,3,0,ECE,0,0,0,6,3,0,0,2,0,0,0,Introduction to Power Electronics,4,"ECE 132, ECE 134, and ECE 137A with a minimum grade of C- in all; open to EE majors only.","An introduction to modern switched-mode power electronics and associated devices. Covers modern converter/inverter topologies for the control and conversion of electrical power with high efficiency, with applications in power supplies, renewable energy systems, lighting, electric/hybrid vehicles, and motor drivers.",3.9,"Professor Salem's lectures are clear and helpful, easing students into the ECE subject. Homework is challenging but intended to prepare students well for exams. Students appreciate his detailed explanations and the practical applications discussed in class.",12,75%,2.8
ECE 146B,MADHOW U,Spring,2024,3,0,0,0,0,6,0,3.88,0,ECE,0,0,2,1,0,0,0,0,0,0,0,Communication Systems Design,5,ECE 130A-B and ECE 146A with minimum grades of C-; open to EE majors only.,"Optimal demodulation, including signal space geometry; communication performance characterization; advanced wireless communication techniques, including multi-antenna and multicarrier systems; other emerging frontiers in communications.",2.2,"Students report that Professor Madhow's lectures are challenging, with a heavy reliance on his textbook. Homework assignments are lengthy and require a solid understanding of the material. Some students find his teaching style fast-paced and recommend attending TA office hours for additional support.",5,40%,4.6
ECE 147C,HESPANHA J P,Spring,2024,6,0,0,0,0,10,0,3.97,0,ECE,0,0,3,0,0,0,1,0,0,0,0,Control Systems Design Project,5,ECE 147A or ME 155A with a minimum grade of C-; open to EE majors only.,"This course involves the design and implementation of control systems, emphasizing practical laboratory experience. Students work in teams to complete a project that includes system modeling, controller design, and experimental validation.",4.9,Professor Hespanha is highly regarded for his well-structured lectures and comprehensive course notes. Students appreciate his approachable nature and the practical applications emphasized in the course projects.,10,100%,1.9
ECE 148,LEE H,Spring,2024,13,0,0,0,0,15,0,4,0,ECE,0,0,2,0,0,0,0,0,0,0,0,Applications of Signal Analysis and Processing,4,ECE 130A and 130B with a minimum grade of C- in both.,"A sequence of engineering applications of signal analysis and processing techniques; in communications, image processing, analog and digital filter design, signal detection and parameter estimation, holography and tomography, Fourier optics, and microwave and acoustic sensing.",3.1/5,"Students appreciate Professor Lee's clear explanations and engaging lectures, often highlighted by his sense of humor. However, some note that he may not be very responsive to questions during lectures or via email.",29,100%,3.4
ECE 152A,LI P,Spring,2024,10,15,11,2,2,95,0,2.777894737,0,ECE,0,0,8,10,9,1,6,11,9,1,0,Digital Design Principles,5,"ECE 15A and ECE 2A or ECE 10A & ECE 10AL with a minimum grade of C- in each course; or Computer Science 30 or 64 with a minimum grade of C- in each course; open to electrical engineering, computer engineering, and computer science majors only.","Design of synchronous digital systems: timing diagrams, propagation delay, latches and flip-flops, shift registers and counters, Mealy/Moore finite state machines, Verilog, 2-phase clocking, timing analysis, CMOS implementation, S-RAM, RAM-based designs, ASM charts, state minimization.",2.5/5,"Students have noted that while Professor Li's lectures are informative, the homework assignments can be time-consuming, and exams are challenging. Some students felt that the final exam was particularly difficult to complete within the allotted time.",4,50%,3.8
ECE 153B,ISUKAPALLI Y,Spring,2024,14,8,1,0,0,51,0,3.305882353,0,ECE,0,0,0,1,0,5,0,8,4,1,0,Sensor/Peripheral Interface Design,4,ECE 152A with a minimum grade of C-.,"Hardware description languages; field-programmable logic and ASIC design techniques. Mixed-signal techniques: A/D and D/A converter interfaces; video and audio signal acquisition, processing and generation, communication and network interfaces.",4.2/5,Students appreciate the practical approach and hands-on experience with embedded systems. Clear explanations of complex interfacing concepts.,18,85%,3.7
ECE 158,GIBSON J D,Spring,2024,11,0,0,0,0,14,0,3.878571429,0,ECE,0,0,2,0,0,1,0,0,0,0,0,"Digital Signal Processing
",4,"ECE 130A-B with a minimum grade of C-; open to EE majors only.
","Digital Signal Processing, with Applications: The Fast Fourier transform, discrete cosine transform, and multirate digital signal processing techniques, with applications to digital cellular communications and wireless access points, and audio, voice, still image, video, and biological signal analysis, recognition and compression.
",4.3/5,Professor brings extensive industry experience and provides clear explanations of complex DSP concepts. Assignments are challenging but valuable.,22,88%,3.8
